選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,61-65,66-70,71+,新增登記選民,2015 推算人口
S12,葵芳,114,55,34,19,18,24,30,28,17,7,7,8,11,372,17652
L10,興澤,81,50,25,23,23,31,27,23,28,22,22,8,8,371,16134
R08,博康,70,24,45,56,43,15,17,19,19,19,19,18,7,371,16341
M06,元龍,56,20,44,46,55,45,32,28,15,10,10,6,4,371,13959
S22,翠怡,97,47,37,34,39,30,23,24,15,4,4,7,9,370,19924
J30,協康,61,35,24,30,26,25,28,28,30,16,16,19,32,370,16713
S04,下大窩口,71,35,38,27,26,24,25,15,25,21,21,15,25,368,13301
G01,馬頭圍,86,40,34,23,25,36,31,23,21,13,13,8,14,367,19205
C05,筲箕灣,69,40,37,32,22,33,23,27,24,18,18,11,13,367,13250
K14,綠楊,73,33,41,37,37,26,28,30,19,12,12,8,10,366,15335
M28,天耀,71,66,58,35,23,17,17,22,25,7,7,6,12,366,14424
C13,翡翠,66,38,25,27,39,33,23,32,12,23,23,10,15,366,15427
H23,彩雲西,72,40,35,21,33,20,39,33,16,16,16,9,15,365,13487
S25,盛康,53,27,25,37,22,22,23,16,25,35,35,20,25,365,15138
D11,薄扶林,46,19,18,26,37,57,44,53,20,13,13,5,14,365,19996
C06,阿公岩,64,32,35,20,27,33,30,22,20,16,16,22,21,358,19188
C02,太古城東,59,29,39,23,43,32,40,30,21,9,9,8,16,358,19530
E08,奧運,46,23,30,41,61,49,39,23,16,8,8,6,8,358,18162
L20,龍門,99,44,22,25,15,27,36,23,18,10,10,13,15,357,17252
L23,田景,78,53,67,29,18,20,14,12,13,19,19,6,9,357,16443
F02,長沙灣,76,36,32,33,23,28,24,24,24,15,15,7,20,357,16864
P09,宏福,76,33,35,48,35,24,12,22,17,17,17,13,8,357,12744
M27,耀祐,103,60,49,24,24,14,18,18,15,12,12,1,6,356,14029
S27,長亨,68,50,40,31,26,19,24,21,19,18,18,12,10,356,13616
L18,蝴蝶,87,42,28,29,24,28,16,21,17,20,20,15,8,355,17013
L12,三聖,79,35,29,20,35,35,21,25,21,14,14,11,16,355,21287
E10,大角咀南,68,35,40,34,27,36,18,28,17,12,12,12,16,355,16214
F17,荔枝角北,53,20,38,28,28,32,20,21,21,29,29,16,20,355,14042
E09,櫻桃,51,41,35,32,31,26,28,23,16,28,28,10,6,355,15676
L05,友愛南,94,52,24,28,37,24,11,15,18,14,14,13,10,354,15172
A08,西環,52,28,42,39,37,32,24,27,18,12,12,10,21,354,14789
L06,友愛北,91,52,24,46,43,22,13,25,14,6,6,6,5,353,15090
C11,景怡,112,55,33,16,22,21,20,29,12,7,7,8,10,352,15934
C25,康怡,76,38,31,27,29,39,35,34,16,9,9,3,5,351,14724
D10,華富北,98,45,30,20,14,32,28,20,10,14,14,8,17,350,14296
A05,大學,71,34,32,23,26,36,34,29,14,15,15,11,10,350,19010
C01,太古城西,76,38,29,28,27,35,26,29,17,10,10,11,13,349,18269
J09,雙順,126,41,19,18,31,28,23,26,8,10,10,3,5,348,17661
G10,龍城,52,23,18,19,32,37,26,25,32,19,19,13,33,348,15460
F07,南昌中,47,30,27,15,30,41,29,28,24,28,28,11,10,348,18413
H11,橫頭磡,109,47,36,11,19,25,23,29,12,8,8,8,12,347,17303
S15,祖堯,77,42,20,21,29,27,25,30,22,16,16,14,8,347,15988
J35,淘大,71,35,46,37,26,28,27,27,24,9,9,6,2,347,17013
J37,樂華南,67,26,16,15,22,23,16,19,22,23,23,25,48,345,13093
E01,尖沙咀西,57,24,29,28,30,28,35,32,18,20,20,14,10,345,20881
A10,石塘咀,63,34,37,23,33,24,19,25,18,17,17,15,19,344,17176
F10,麗閣,73,34,24,16,27,33,31,27,13,18,18,9,20,343,14379
L21,新景,79,45,51,35,17,18,20,14,21,14,14,6,7,341,14585
L15,悅湖,100,48,24,27,29,19,27,23,9,9,9,9,7,340,13324
H21,彩雲東,103,43,27,23,21,28,32,24,17,6,6,4,5,339,13945
H24,池彩,86,37,33,28,38,34,19,22,14,9,9,4,6,339,16110
K04,祈德尊,71,36,19,19,27,35,24,25,31,7,7,12,26,339,14549
E06,旺角西,57,27,31,28,30,26,32,21,25,23,23,9,6,338,15423
C20,錦屏,67,32,26,29,23,18,22,23,22,17,17,24,17,337,16793
