Code,Name,Sex,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+,source_file
S14,荔華 Lai Wah,M,119.0,262.0,307.0,243.0,323.0,443.0,345.0,460.0,429.0,402.0,303.0,417.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S14,荔華 Lai Wah,F,115.0,298.0,297.0,251.0,315.0,391.0,312.0,362.0,406.0,328.0,342.0,425.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S15,祖堯 Cho Yiu,M,98.0,195.0,160.0,201.0,347.0,461.0,484.0,389.0,244.0,413.0,534.0,636.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S15,祖堯 Cho Yiu,F,110.0,205.0,151.0,208.0,337.0,481.0,500.0,474.0,310.0,250.0,426.0,750.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S16,興芳 Hing Fong,M,157.0,297.0,281.0,420.0,474.0,586.0,609.0,555.0,455.0,388.0,297.0,464.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S16,興芳 Hing Fong,F,132.0,319.0,276.0,351.0,440.0,489.0,539.0,564.0,589.0,435.0,331.0,495.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S17,荔景 Lai King,M,93.0,257.0,259.0,220.0,247.0,299.0,260.0,313.0,407.0,435.0,576.0,904.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S17,荔景 Lai King,F,100.0,248.0,263.0,238.0,276.0,363.0,265.0,294.0,334.0,310.0,375.0,864.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S18,葵盛西邨 Kwai Shing West Estate,M,144.0,368.0,363.0,280.0,340.0,490.0,386.0,448.0,471.0,548.0,670.0,1005.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S18,葵盛西邨 Kwai Shing West Estate,F,167.0,377.0,422.0,329.0,360.0,498.0,389.0,349.0,458.0,385.0,410.0,1115.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S19,安灝 On Ho,M,116.0,321.0,537.0,593.0,395.0,470.0,475.0,748.0,986.0,647.0,392.0,496.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S19,安灝 On Ho,F,137.0,363.0,575.0,657.0,397.0,422.0,446.0,530.0,813.0,685.0,446.0,563.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S20,偉盈 Wai Ying,M,149.0,362.0,230.0,235.0,306.0,533.0,723.0,829.0,606.0,389.0,318.0,471.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S20,偉盈 Wai Ying,F,173.0,349.0,255.0,219.0,318.0,436.0,603.0,805.0,699.0,425.0,310.0,482.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S21,青衣邨 Tsing Yi Estate,M,90.0,258.0,509.0,664.0,523.0,342.0,259.0,479.0,751.0,641.0,405.0,542.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S21,青衣邨 Tsing Yi Estate,F,79.0,290.0,440.0,703.0,535.0,357.0,281.0,298.0,546.0,599.0,441.0,599.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S22,翠怡 Greenfield,M,119.0,278.0,251.0,409.0,536.0,651.0,615.0,698.0,443.0,305.0,263.0,392.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S22,翠怡 Greenfield,F,170.0,315.0,235.0,348.0,518.0,631.0,600.0,682.0,500.0,293.0,235.0,357.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
